Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
Which of the following resources is used to route the flow of network traffic to specific network destinations?;Network security groups;Azure firewall;ExpressRoute;User-defined routes;D;User-defined routes can be used to direct the flow of network traffic to specific network destinations. This allows for more granular control over network traffic and helps in optimizing network performance[10](https://microsoft.sharepoint.com/teams/LevelUpSkilling/_layouts/15/Doc.aspx?sourcedoc=%7BFFF87B7F-E6A5-45AA-A1C5-9D540AC02D94%7D&file=Microsoft%20Entra%20ID%20Governance%20Deck.pptx&action=edit&mobileredirect=true&DefaultItemOpen=1).
Which of the following are valid membership types for Microsoft Entra groups?;Hybrid, guest, combined;Assigned, generated;Assigned, dynamic;Classic, Entra;C;Membership to Microsoft Entra groups can be either assigned or dynamic. Assigned membership requires manual addition of members, while dynamic membership uses rules to automatically add and remove members based on attributes[11](https://microsoft.sharepoint.com/teams/capcmrhubstorage/_layouts/15/Doc.aspx?sourcedoc=%7BFE52848A-0314-4D37-9971-A2B9550BFCA2%7D&file=HYT%20Identity%20Governance%20Research%20-%20Topline%20Report.docx&action=default&mobileredirect=true&DefaultItemOpen=1).
What is the purpose of Azure Monitor?;To manage user identities;To provide data encryption;To monitor and analyze the performance and health of Azure resources;To manage network traffic;C;Azure Monitor is used to monitor and analyze the performance and health of Azure resources. It provides insights into the operation of applications and infrastructure, helping organizations to identify and resolve issues quickly[12](https://azure.microsoft.com/en-us/updates/upgrade-to-new-solution-for-azure-monitor-for-vms/).
Which of the following is a key feature of Azure Policy?;Data encryption;Role-based access control;Compliance auditing;Network traffic management;C;Azure Policy is used for compliance auditing. It allows organizations to create, assign, and manage policies that enforce rules and effects over resources, ensuring compliance with corporate standards and regulatory requirements[13](https://azure.microsoft.com/en-us/updates/preview-of-azure-monitor-for-sap-solutions/).
What is the role of Azure Blueprints in governance?;To provide data encryption;To manage user identities;To define a repeatable set of Azure resources and policies;To monitor network traffic;C;Azure Blueprints are used to define a repeatable set of Azure resources and policies. They help organizations to deploy and manage environments that comply with organizational standards and best practices.
Which of the following is NOT a feature of Microsoft Entra ID Governance?;Access recertification;Privileged access management;Data encryption;Access lifecycle management;C;Data encryption is not a feature of Microsoft Entra ID Governance. Entra ID Governance focuses on managing access to resources, ensuring that the right people have the right access at the right time.
What is the purpose of Azure AD Privileged Identity Management (PIM)?;To manage user identities;To provide data encryption;To manage and control access to privileged roles;To monitor network traffic;C;Azure AD Privileged Identity Management (PIM) is used to manage and control access to privileged roles. It helps organizations to reduce the risk of excessive, unnecessary, or misused access permissions.
Which of the following is a benefit of using Azure AD Conditional Access?;Data encryption;Role-based access control;Improved security by enforcing access policies based on conditions;Network traffic management;C;Azure AD Conditional Access improves security by enforcing access policies based on conditions. It allows organizations to control how and when users can access resources, based on factors such as location, device, and risk level.
What is the purpose of Azure AD Identity Protection?;To manage user identities;To provide data encryption;To detect and respond to identity-based threats;To monitor network traffic;C;Azure AD Identity Protection is used to detect and respond to identity-based threats. It leverages machine learning and behavioral analytics to identify suspicious activities and take appropriate actions to protect user accounts.
Which of the following is a key feature of Azure AD Access Reviews?;Data encryption;Role-based access control;Periodic review of user access to resources;Network traffic management;C;Azure AD Access Reviews allow organizations to periodically review user access to resources. This helps ensure that only authorized users have access to critical resources, reducing the risk of unauthorized access.
What is the purpose of Azure AD B2C?;To manage user identities;To provide data encryption;To enable customer identity and access management;To monitor network traffic;C;Azure AD B2C is used to enable customer identity and access management. It allows organizations to provide secure and seamless access to their applications for customers and partners.
Which of the following is a benefit of using Azure AD Application Proxy?;Data encryption;Role-based access control;Secure remote access to on-premises applications;Network traffic management;C;Azure AD Application Proxy provides secure remote access to on-premises applications. It allows users to access internal applications from anywhere, without the need for a VPN.
What is the role of Azure AD Connect in identity management?;To provide data encryption;To manage user identities;To synchronize on-premises directories with Azure AD;To monitor network traffic;C;Azure AD Connect is used to synchronize on-premises directories with Azure AD. This ensures that user identities and attributes are consistent across on-premises and cloud environments.
Which of the following is a key feature of Azure AD Identity Governance?;Data encryption;Role-based access control;Access lifecycle management;Network traffic management;C;Azure AD Identity Governance focuses on access lifecycle management. It helps organizations to manage the entire lifecycle of user access, from onboarding to offboarding, ensuring that access is granted and revoked appropriately.
What is the purpose of Azure AD Conditional Access policies?;To manage user identities;To provide data encryption;To enforce access controls based on conditions;To monitor network traffic;C;Azure AD Conditional Access policies are used to enforce access controls based on conditions. They allow organizations to define rules that determine how and when users can access resources, based on factors such as location, device, and risk level.
Which of the following is a benefit of using Azure AD Privileged Identity Management (PIM)?;Data encryption;Role-based access control;Reduced risk of excessive or misused access permissions;Network traffic management;C;Azure AD Privileged Identity Management (PIM) reduces the risk of excessive or misused access permissions. It helps organizations to manage and control access to privileged roles, ensuring that only authorized users have elevated access.
What is the purpose of Azure AD Identity Protection risk policies?;To manage user identities;To provide data encryption;To automatically respond to identity-based threats;To monitor network traffic;C;Azure AD Identity Protection risk policies are used to automatically respond to identity-based threats. They allow organizations to define actions that should be taken when suspicious activities are detected, such as requiring multi-factor authentication or blocking access.
Which of the following is a key feature of Azure AD Conditional Access?;Data encryption;Role-based access control;Risk-based access policies;Network traffic management;C;Azure AD Conditional Access includes risk-based access policies. These policies evaluate the risk level of each sign-in attempt and enforce appropriate access controls based on the assessed risk.
What is the purpose of Azure AD Access Reviews?;To manage user identities;To provide data encryption;To periodically review user access to resources;To monitor network traffic;C;Azure AD Access Reviews are used to periodically review user access to resources. This helps organizations to ensure that only authorized users have access to critical resources, reducing the risk of unauthorized access.
Which of the following is a benefit of using Azure AD B2C?;Data encryption;Role-based access control;Improved customer identity and access management;Network traffic management;C;Azure AD B2C improves customer identity and access management. It allows organizations to provide secure and seamless access to their applications for customers and partners, enhancing the user experience.
What is the role of Azure AD Application Proxy in identity management?;To provide data encryption;To manage user identities;To enable secure remote access to on-premises applications;To monitor network traffic;C;Azure AD Application Proxy enables secure remote access to on-premises applications. It allows users to access internal applications from anywhere, without the need for a VPN.
Which of the following is a key feature of Azure AD Connect?;Data encryption;Role-based access control;Directory synchronization;Network traffic management;C;Azure AD Connect provides directory synchronization. It ensures that user identities and attributes are consistent across on-premises and cloud environments, enabling seamless identity management.
What is the purpose of Azure AD Identity Governance?;To manage user identities;To provide data encryption;To manage the lifecycle of user access;To monitor network traffic;C;Azure AD Identity Governance manages the lifecycle of user access. It helps organizations to ensure that access is granted and revoked appropriately, from onboarding to offboarding.
Which of the following is a benefit of using Azure AD Conditional Access policies?;Data encryption;Role-based access control;Improved security by enforcing access controls based on conditions;Network traffic management;C;Azure AD Conditional Access policies improve security by enforcing access controls based on conditions. They allow organizations to define rules that determine how and when users can access resources, based on factors such as location, device, and risk level.
What is the purpose of Azure AD Privileged Identity Management (PIM)?;To manage user identities;To provide data encryption;To manage and control access to privileged roles;To monitor network traffic;C;Azure AD Privileged Identity Management (PIM) manages and controls access to privileged roles. It helps organizations to reduce the risk of excessive, unnecessary, or misused access permissions.
Which of the following is a key feature of Azure AD Identity Protection?;Data encryption;Role-based access control;Detection and response to identity-based threats;Network traffic management;C;Azure AD Identity Protection detects and responds to identity-based threats. It leverages machine learning and behavioral analytics to identify suspicious activities and take appropriate actions to protect user accounts.
What is the purpose of Azure AD Access Reviews?;To manage user identities;To provide data encryption;To periodically review user access to resources;To monitor network traffic;C;Azure AD Access Reviews periodically review user access to resources. This helps organizations to ensure that only authorized users have access to critical resources, reducing the risk of unauthorized access.
Which of the following is a benefit of using Azure AD B2C?;Data encryption;Role-based access control;Improved customer identity and access management;Network traffic management;C;Azure AD B2C improves customer identity and access management. It allows organizations to provide secure and seamless access to their applications for customers and partners, enhancing the user experience.
What is the role of Azure AD Application Proxy in identity management?;To provide data encryption;To manage user identities;To enable secure remote access to on-premises applications;To monitor network traffic;C;Azure AD Application Proxy enables secure remote access to on-premises applications. It allows users to access internal applications from anywhere, without the need for a VPN.
Which of the following is a key feature of Azure AD Connect?;Data encryption;Role-based access control;Directory synchronization;Network traffic management;C;Azure AD Connect provides directory synchronization. It ensures that user identities and attributes are consistent across on-premises and cloud environments, enabling seamless identity management.
What is the purpose of Azure AD Identity Governance?;To manage user identities;To provide data encryption;To manage the lifecycle of user access;To monitor network traffic;C;Azure AD Identity Governance manages the lifecycle of user access. It helps organizations to ensure that access is granted and revoked appropriately, from onboarding to offboarding.
Which of the following is a benefit of using Azure AD Conditional Access policies?;Data encryption;Role-based access control;Improved security by enforcing access controls based on conditions;Network traffic management;C;Azure AD Conditional Access policies improve security by enforcing access controls based on conditions. They allow organizations to define rules that determine how and when users can access resources, based on factors such as location, device, and risk level.
What is the purpose of Azure AD Privileged Identity Management (PIM)?;To manage user identities;To provide data encryption;To manage and control access to privileged roles;To monitor network traffic;C;Azure AD Privileged Identity Management (PIM) manages and controls access to privileged roles. It helps organizations to reduce the risk of excessive, unnecessary, or misused access permissions.
Which of the following is a key feature of Azure AD Identity Protection?;Data encryption;Role-based access control;Detection and response to identity-based threats;Network traffic management;C;Azure AD Identity Protection detects and responds to identity-based threats. It leverages machine learning and behavioral analytics to identify suspicious activities and take appropriate actions to protect user accounts.
What is the purpose of Azure AD Access Reviews?;To manage user identities;To provide data encryption;To periodically review user access to resources;To monitor network traffic;C;Azure AD Access Reviews periodically review user access to resources. This helps organizations to ensure that only authorized users have access to critical resources, reducing the risk of unauthorized access.
Which of the following is a benefit of using Azure AD B2C?;Data encryption;Role-based access control;Improved customer identity and access management;Network traffic management;C;Azure AD B2C improves customer identity and access management. It allows organizations to provide secure and seamless access to their applications for customers and partners, enhancing the user experience.
What is the role of Azure AD Application Proxy in identity management?;To provide data encryption;To manage user identities;To enable secure remote access to on-premises applications;To monitor network traffic;C;Azure AD Application Proxy enables secure remote access to on-premises applications. It allows users to access internal applications from anywhere, without the need for a VPN.
Which of the following is a key feature of Azure AD Connect?;Data encryption;Role-based access control;Directory synchronization;Network traffic management;C;Azure AD Connect provides directory synchronization. It ensures that user identities and attributes are consistent across on-premises and cloud environments, enabling seamless identity management.
What is the purpose of Azure AD Identity Governance?;To manage user identities;To provide data encryption;To manage the lifecycle of user access;To monitor network traffic;C;Azure AD Identity Governance manages the lifecycle of user access. It helps organizations to ensure that access is granted and revoked appropriately, from onboarding to offboarding.
Which of the following is a benefit of using Azure AD Conditional Access policies?;Data encryption;Role-based access control;Improved security by enforcing access controls based on conditions;Network traffic management;C;Azure AD Conditional Access policies improve security by enforcing access controls based on conditions. They allow organizations to define rules that determine how and when users can access resources, based on factors such as location, device, and risk level.
What is the purpose of Azure AD Privileged Identity Management (PIM)?;To manage user identities;To provide data encryption;To manage and control access to privileged roles;To monitor network traffic;C;
Which of the following is required to deploy Azure Bastion?;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger;A subnet named AzureBastion with a subnet mask of /26 or smaller;Azure Firewall with the Premium SKU;Azure Firewall with the Standard SKU;A;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger is required when you deploy Azure Bastion. Azure Bastion provides secure and seamless RDP and SSH connectivity to your virtual machines directly through the Azure portal without exposing them to the public internet. For more information refer to: https://outlook.office365.com/owa/?ItemID=AAMkADVmNTExNTcyLWVkMDEtNDUzZS1iNGRhLTY2M2EwMDJmOTkxMgBGAAAAAAC7tXuHTnZsSK7mgQTxhw3oBwC97t0Zh4WqT4Upf8%2flA1g0AAAAAAEMAAC97t0Zh4WqT4Upf8%2flA1g0AAAVN5JSAAA%3d&exvsurl=1&viewmodel=ReadMessageItem).
You need to ensure that all public network access to an Azure storage account is disabled. What should you configure?;Private endpoint connections;Microsoft Defender for Cloud;Firewalls and virtual networks;Containers;C;You can configure the firewalls and virtual networks networking settings on the storage account to prevent public network access. This helps secure your storage account by allowing access only from specified virtual networks or IP address ranges. For more information refer to: https://teams.microsoft.com/l/message/19:766ea78695084eddaea09ea8d90c828e@thread.v2/1622651550994?context=%7B%22contextType%22:%22chat%22%7D).
What is the primary benefit of using Azure Blob Storage?;Low latency;High throughput;Scalability and cost-efficiency;Data encryption;C;Azure Blob Storage is designed for scalability and cost-efficiency. It allows you to store large amounts of unstructured data, such as text or binary data, and access it from anywhere in the world. Blob Storage is ideal for serving images or documents directly to a browser, storing files for distributed access, and streaming video and audio. For more information refer to: https://teams.microsoft.com/l/message/19:766ea78695084eddaea09ea8d90c828e@thread.v2/1671088952739?context=%7B%22contextType%22:%22chat%22%7D).
Which of the following is a key feature of Azure Data Lake Storage?;Data encryption;Hierarchical namespace;Low latency;High throughput;B;Azure Data Lake Storage provides a hierarchical namespace, which allows you to organize your data into directories and subdirectories. This feature improves performance and management of large datasets by enabling efficient data access and operations. For more information refer to: https://teams.microsoft.com/l/message/19:meeting_NDE0YTMwZTctNmVkNC00Y2Y2LTgzNzktOGFiMjhhMGIzOWQ4@thread.v2/1727469225918?context=%7B%22contextType%22:%22chat%22%7D).
What is the purpose of Azure Storage Explorer?;To manage user identities;To provide data encryption;To manage and access Azure storage resources;To monitor network traffic;C;Azure Storage Explorer is a tool that allows you to manage and access Azure storage resources, such as blobs, files, queues, and tables. It provides a graphical interface for performing common storage tasks, such as uploading, downloading, and managing data. For more information refer to: https://teams.microsoft.com/l/message/19:83234e0ba7754219a799482a9cb8e31a@thread.v2/1707424283250?context=%7B%22contextType%22:%22chat%22%7D).
Which of the following is a benefit of using Azure Files?;Data encryption;Role-based access control;SMB and NFS protocol support;Network traffic management;C;Azure Files provides fully managed file shares in the cloud that are accessible via the SMB and NFS protocols. This allows you to share files across multiple virtual machines and access them from anywhere, just like a traditional file server. For more information refer to: https://learn.microsoft.com/en-us/training/modules/design-data-storage-solution-for-relational-data/?WT.mc_id=api_CatalogApi&sso=viva-learning).
What is the role of Azure Blob Storage in data archiving?;To provide data encryption;To manage user identities;To store large amounts of unstructured data for long-term retention;To monitor network traffic;C;Azure Blob Storage is used to store large amounts of unstructured data for long-term retention. The Archive tier in Blob Storage is designed for data that is rarely accessed but needs to be retained for compliance or other reasons. For more information refer to: https://learn.microsoft.com/en-us/azure/databox/data-box-heavy-overview).
Which of the following is a key feature of Azure Managed Disks?;Data encryption;Role-based access control;Automatic storage management;Network traffic management;C;Azure Managed Disks provide automatic storage management, which simplifies the process of managing disk storage for virtual machines. Managed Disks handle the storage account creation and management, ensuring high availability and durability of your data. For more information refer to: https://learn.microsoft.com/en-us/training/modules/design-data-storage-solution-for-non-relational-data/?WT.mc_id=api_CatalogApi&sso=viva-learning).
What is the purpose of Azure Storage Account Keys?;To manage user identities;To provide data encryption;To authenticate and authorize access to Azure storage resources;To monitor network traffic;C;Azure Storage Account Keys are used to authenticate and authorize access to Azure storage resources. Each storage account has two keys, which can be rotated to enhance security and ensure continuous access. For more information refer to: https://learn.microsoft.com/en-us/azure/architecture/guide/technology-choices/technology-choices-overview).
Which of the following is a benefit of using Azure Table Storage?;Data encryption;Role-based access control;Scalability and cost-efficiency;Network traffic management;C;Azure Table Storage provides scalability and cost-efficiency for storing large amounts of structured data. It is a NoSQL key-value store that allows for fast access to data and is ideal for applications that require flexible data schemas. For more information refer to: https://azure.microsoft.com/en-us/solutions/backup-archive).
What is the role of Azure Queue Storage in application development?;To provide data encryption;To manage user identities;To enable asynchronous messaging between application components;To monitor network traffic;C;Azure Queue Storage enables asynchronous messaging between application components. It allows you to decouple different parts of your application, improving scalability and reliability by ensuring that messages are delivered even if one component is temporarily unavailable. For more information refer to: https://azure.microsoft.com/en-us/products/storage/data-lake-storage).
Which of the following is a key feature of Azure Blob Storage?;Data encryption;Role-based access control;Support for multiple access tiers;Network traffic management;C;Azure Blob Storage supports multiple access tiers, including Hot, Cool, and Archive. These tiers allow you to optimize storage costs based on data access patterns, with the Hot tier for frequently accessed data, the Cool tier for infrequently accessed data, and the Archive tier for rarely accessed data. For more information refer to: https://azure.microsoft.com/en-us/products/category/storage).
What is the purpose of Azure File Sync?;To manage user identities;To provide data encryption;To synchronize on-premises file servers with Azure Files;To monitor network traffic;C;Azure File Sync is used to synchronize on-premises file servers with Azure Files. This allows you to centralize your file shares in Azure while maintaining local access to your data, providing a hybrid storage solution. For more information refer to: https://learn.microsoft.com/en-us/azure/architecture/solution-ideas/articles/medical-data-storage).
Which of the following is a benefit of using Azure Blob Storage for data backup?;Data encryption;Role-based access control;Scalability and cost-efficiency;Network traffic management;C;Azure Blob Storage provides scalability and cost-efficiency for data backup. It allows you to store large amounts of data at a low cost, with the ability to scale up or down based on your needs. Blob Storage also offers features such as data redundancy and access tiers to optimize costs. For more information refer to: https://azure.microsoft.com/en-us/products/storage).
What is the role of Azure Data Box in data migration?;To provide data encryption;To manage user identities;To transfer large amounts of data to Azure;To monitor network traffic;C;Azure Data Box is used to transfer large amounts of data to Azure. It provides a secure and efficient way to move data to the cloud, especially when network bandwidth is limited or data transfer times are critical. For more information refer to: https://learn.microsoft.com/en-us/training/paths/design-data-storage-solutions/?WT.mc_id=api_CatalogApi&sso=viva-learning).
Which of the following is a key feature of Azure Blob Storage?;Data encryption;Role-based access control;Support for multiple access tiers;Network traffic management;C;Azure Blob Storage supports multiple access tiers, including Hot, Cool, and Archive. These tiers allow you to optimize storage costs based on data access patterns, with the Hot tier for frequently accessed data, the Cool tier for infrequently accessed data, and the Archive tier for rarely accessed data.
What is the purpose of Azure File Sync?;To manage user identities;To provide data encryption;To synchronize on-premises file servers with Azure Files;To monitor network traffic;C;Azure File Sync is used to synchronize on-premises file servers with Azure Files. This allows you to centralize your file shares in Azure while maintaining local access to your data, providing a hybrid storage solution.
Which of the following is a benefit of using Azure Blob Storage for data backup?;Data encryption;Role-based access control;Scalability and cost-efficiency;Network traffic management;C;Azure Blob Storage provides scalability and cost-efficiency for data backup. It allows you to store large amounts of data at a low cost, with the ability to scale up or down based on your needs. Blob Storage also offers features such as data redundancy and access tiers to optimize costs.
What is the role of Azure Data Box in data migration?;To provide data encryption;To manage user identities;To transfer large amounts of data to Azure;To monitor network traffic;C;Azure Data Box is used to transfer large amounts of data to Azure. It provides a secure and efficient way to move data to the cloud, especially when network bandwidth is limited or data transfer times are critical.
Which of the following is a key feature of Azure Blob Storage?;Data encryption;Role-based access control;Support for multiple access tiers;Network traffic management;C;Azure Blob Storage supports multiple access tiers, including Hot, Cool, and Archive. These tiers allow you to optimize storage costs based on data access patterns, with the Hot tier for frequently accessed data, the Cool tier for infrequently accessed data, and the Archive tier for rarely accessed data.
What is the purpose of Azure File Sync?;To manage user identities;To provide data encryption;To synchronize on-premises file servers with Azure Files;To monitor network traffic;C;Azure File Sync is used to synchronize on-premises file servers with Azure Files. This allows you to centralize your file shares in Azure while maintaining local access to your data, providing a hybrid storage solution.
Which of the following is a benefit of using Azure Blob Storage for data backup?;Data encryption;Role-based access control;Scalability and cost-efficiency;Network traffic management;C;Azure Blob Storage provides scalability and cost-efficiency for data backup. It allows you to store large amounts of data at a low cost, with the ability to scale up or down based on your needs. Blob Storage also offers features such as data redundancy and access tiers to optimize costs.
What is the role of Azure Data Box in data migration?;To provide data encryption;To manage user identities;To transfer large amounts of data to Azure;To monitor network traffic;C;Azure Data Box is used to transfer large amounts of data to Azure. It provides a secure and efficient way to move data to the cloud, especially when network bandwidth is limited or data transfer times are critical.
Which of the following is a key feature of Azure Blob Storage?;Data encryption;Role-based access control;Support for multiple access tiers;Network traffic management;C;Azure Blob Storage supports multiple access tiers, including Hot, Cool, and Archive. These tiers allow you to optimize storage costs based on data access patterns, with the Hot tier for frequently accessed data, the Cool tier for infrequently accessed data, and the Archive tier for rarely accessed data.
What is the purpose of Azure File Sync?;To manage user identities;To provide data encryption;To synchronize on-premises file servers with Azure Files;To monitor network traffic;C;Azure File Sync is used to synchronize on-premises file servers with Azure Files. This allows you to centralize your file shares in Azure while maintaining local access to your data, providing a hybrid storage solution.
Which of the following is a benefit of using Azure Blob Storage for data backup?;Data encryption;Role-based access control;Scalability and cost-efficiency;Network traffic management;C;Azure Blob Storage provides scalability and cost-efficiency for data backup. It allows you to store large amounts of data at a low cost, with the ability to scale up or down based on your needs. Blob Storage also offers features such as data redundancy and access tiers to optimize costs.
What is the role of Azure Data Box in data migration?;To provide data encryption;To manage user identities;To transfer large amounts of data to Azure;To monitor network traffic;C;Azure Data Box is used to transfer large amounts of data to Azure. It provides a secure and efficient way to move data to the cloud, especially when network bandwidth is limited or data transfer times are critical.
Which of the following is a key feature of Azure Blob Storage?;Data encryption;Role-based access control;Support for multiple access tiers;Network traffic management;C;Azure Blob Storage supports multiple access tiers, including Hot, Cool, and Archive. These tiers allow you to optimize storage costs based on data access patterns, with the Hot tier for frequently accessed data, the Cool tier for infrequently accessed data, and the Archive tier for rarely accessed data.
What is the purpose of Azure File Sync?;To manage user identities;To provide data encryption;To synchronize on-premises file servers with Azure Files;To monitor network traffic;C;Azure File Sync is used to synchronize on-premises file servers with Azure Files. This allows you to centralize your file shares in Azure while maintaining local access to your data, providing a hybrid storage solution.
Which of the following is a benefit of using Azure Blob Storage for data backup?;Data encryption;Role-based access control;Scalability and cost-efficiency;Network traffic management;C;Azure Blob Storage provides scalability and cost-efficiency for data backup. It allows you to store large amounts of data at a low cost, with the ability to scale up or down based on your needs. Blob Storage also offers features such as data redundancy and access tiers to optimize costs.
What is the role of Azure Data Box in data migration?;To provide data encryption;To manage user identities;To transfer large amounts of data to Azure;To monitor network traffic;C;Azure Data Box is used to transfer large amounts of data to Azure. It provides a secure and efficient way to move data to the cloud, especially when network bandwidth is limited or data transfer times are critical.
Which of the following is a key feature of Azure Blob Storage?;Data encryption;Role-based access control;Support for multiple access tiers;Network traffic management;C;Azure Blob Storage supports multiple access tiers, including Hot, Cool, and Archive. These tiers allow you to optimize storage costs based on data access patterns, with the Hot tier for frequently accessed data, the Cool tier for infrequently accessed data, and the Archive tier for rarely accessed data.
What is the purpose of Azure File Sync?;To manage user identities;To provide data encryption;To synchronize on-premises file servers with Azure Files;To monitor network traffic;C;Azure File Sync is used to synchronize on-premises file servers with Azure Files. This allows you to centralize your file shares in Azure while maintaining local access to your data, providing a hybrid storage solution.
Which of the following is a benefit of using Azure Blob Storage for data backup?;Data encryption;Role-based access control;Scalability and cost-efficiency;Network traffic management;C;Azure Blob Storage provides scalability and cost-efficiency for data backup. It allows you to store large amounts of data at a low cost, with the ability to scale up or down based on your needs. Blob Storage also offers features such as data redundancy and access tiers to optimize costs.
What is the role of Azure Data Box in data migration?;To provide data encryption;To manage user identities;To transfer large amounts of data to Azure;To analyze data for migration;C;Azure Data Box is a solution designed by Microsoft to help organizations securely transfer large amounts of data to Azure when network-based transfers are too slow or costly. Data Box devices, including physical hardware and disk storage options, allow for secure data migration by shipping pre-configured devices to customers, who can load data onto the device and then send it back to an Azure datacenter. The data is encrypted during transit, ensuring secure handling. After it reaches the Azure facility, data is uploaded to the appropriate storage service in the cloud. This is especially useful for moving datasets in the petabyte range, or when frequent large-scale data transfers are necessary, such as in backup or archive scenarios. Learn more at the official documentation: https://learn.microsoft.com/en-us/azure/databox/databox-overview .
Which of the following is NOT a valid Azure storage redundancy option?;Read-only Geo-zone-redundant Storage (RA-GZRS);Zone-redundant Storage (ZRS);Locally-geo-redundant Storage (LGRS);Locally-redundant Storage (LRS);C;Locally-geo-redundant Storage (LGRS) is not a valid Azure storage redundancy option. Azure offers several redundancy options to ensure data durability and availability, including Locally-redundant Storage (LRS), Zone-redundant Storage (ZRS), Geo-redundant Storage (GRS), and Read-access Geo-redundant Storage (RA-GRS). Each option provides different levels of replication and protection against data. To learn more, refer to ](https://learn.microsoft.com/en-us/training/paths/design-data-storage-solutions/).
You need to provide secure delegated access to a blob in an Azure storage account. Which of the following should you use?;A stored access policy;A storage account access key;A shared access signature;An Azure file share;C;Shared access signatures (SAS) can be used to provide secure delegated access to Azure storage accounts. SAS tokens allow you to grant limited access to your storage resources without sharing your account keys. You can specify the permissions, start and expiry times, and the IP addresses from which the resources can be accessed. To learn more, refer to https://learn.microsoft.com/en-us/training/modules/design-data-storage-solution-for-relational-data/).
For which of the following storage accounts can you configure lifecycle management policies?;Premium block blob, and Blob Storage accounts.;Premium file share only.;General-purpose v2, premium block blob, and Blob Storage accounts.;General-purpose v2 only.;C;Lifecycle management policies are supported for block blobs and append blobs only. The account must be a general-purpose v2, premium block blob, or Blob Storage account. These policies help automate the transition of data to the appropriate access tiers or deletion of data based on specified rules. To learn more, refer to https://www.microsoftpressstore.com/articles/article.aspx?p=3172426).
You have an existing storage account. You configure customer-managed keys for the account. Which storage services are encrypted using the customer-managed keys?;Blob storage only;Blob, table, queue, and file storage;Blob, queue, and file storage;Blob, and file storage;B;Data stored in queue and table storage isn't automatically protected by a customer-managed key when customer-managed keys are enabled for an existing storage account. You must configure these services to be included in this protection when you create the storage account. To learn more, refer to https://learn.microsoft.com/en-us/training/modules/design-data-storage-solution-for-non-relational-data/).
You are planning to configure object replication for block blobs. Which of the following is not a valid requirement?;The source and destination accounts must be either general-purpose v2 or premium block blob accounts.;You must be assigned the Owner role on the storage account or higher in the scope.;Blob versioning is enabled for both the source and destination account.;The blob change feed must be enabled for the source account.;D;The blob change feed must be enabled for the source account, but it does not need to be enabled on the destination account. Object replication helps improve data availability and disaster recovery by asynchronously copying blobs from one storage account to another. 
You plan to delegate access to a storage account using a shared access signature (SAS). You need to set an expiration time that you may need to extend. Which of the following do you configure?;A storage account access key;An expiration policy for shared access signatures;A stored access policy;A user delegation SAS;C;A stored access policy provides additional server side control over shared access signatures (SAS), including the ability to change the start time, expiry time, or permissions. This helps manage SAS tokens more effectively and ensures that access is granted only for the required duration. 
You have an application that is accessing a storage account using storage account access keys. The application is configured to use key 1. You plan to rotate the storage account access keys. Which steps should you take and in which order?;Update the application to use key 2, regenerate key 1, update the application to use key 1, and then regenerate key 2.;Regenerate key 1, and update the application to use the new key.;Update the application to use key 2, regenerate key 1, and then update the application to use key 1.;Regenerate key 2, and update the application to use key 2.;A;This series of steps would successfully rotate the storage account access keys. Key rotation helps enhance security by periodically changing the access keys used by applications to access storage accounts. 
Which of the following is required to deploy Azure Bastion?;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger;A subnet named AzureBastion with a subnet mask of /26 or smaller;Azure Firewall with the Premium SKU;Azure Firewall with the Standard SKU;A;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger is required when you deploy Azure Bastion. Azure Bastion provides secure and seamless RDP and SSH connectivity to your virtual machines directly through the Azure portal without exposing them to the public internet. 
You need to ensure that all public network access to an Azure storage account is disabled. What should you configure?;Private endpoint connections;Microsoft Defender for Cloud;Firewalls and virtual networks;Containers;C;You can configure the firewalls and virtual networks networking settings on the storage account to prevent public network access. This helps secure your storage account by allowing access only from specified virtual networks or IP address ranges. 
What is the primary benefit of using Azure Blob Storage?;Low latency;High throughput;Scalability and cost-efficiency;Data encryption;C;Azure Blob Storage is designed for scalability and cost-efficiency. It allows you to store large amounts of unstructured data, such as text or binary data, and access it from anywhere in the world. Blob Storage is ideal for serving images or documents directly to a browser, storing files for distributed access, and streaming video and audio. 
Which of the following is a key feature of Azure Data Lake Storage?;Data encryption;Hierarchical namespace;Low latency;High throughput;B;Azure Data Lake Storage provides a hierarchical namespace, which allows you to organize your data into directories and subdirectories. This feature improves performance and management of large datasets by enabling efficient data access and operations. 
What is the purpose of Azure Storage Explorer?;To manage user identities;To provide data encryption;To manage and access Azure storage resources;To monitor network traffic;C;Azure Storage Explorer is a tool that allows you to manage and access Azure storage resources, such as blobs, files, queues, and tables. It provides a graphical interface for performing common storage tasks, such as uploading, downloading, and managing data. 
